Autor;Ano;Número Emenda;Tipo Emenda;Valor Empenhado;UF;Função;Subfunção;Localidade do Gasto;Data do Empenho
BACELAR;2023;20232708;Bancada;R$ 2,474,030,01;SC;Segurança Pública;Ensino Fundamental;PE (UF);18/03/2023
DANIEL ALMEIDA;2023;20234499;Bancada;R$ 2,211,957,79;MG;Educação Infantil;Vigilância Epidemiológica;PE (UF);02/07/2023
DANIEL ALMEIDA;2023;20231233;Comissão;R$ 4,939,372,39;RS;Atenção Básica à Saúde;Assistência Hospitalar e Ambulatorial;PE (UF);02/12/2023
FELIPE BORNIER;2023;20238602;Individual;R$ 178,475,64;RJ;Assistência Hospitalar e Ambulatorial;Ensino Fundamental;SP (UF);13/05/2023
EDUARDO BARBOSA;2023;20231596;Comissão;R$ 3,615,393,87;RJ;Assistência Hospitalar e Ambulatorial;Ensino Superior;BA (UF);09/10/2023
EDUARDO BARBOSA;2023;20237139;Comissão;R$ 4,292,209,55;PE;Segurança Pública;Ensino Superior;MG (UF);14/04/2023
CARLOS ZARATTINI;2023;20233746;Bancada;R$ 2,421,514,54;GO;Ensino Superior;Educação Infantil;MG (UF);19/10/2023
DEPUTADO FELIPE BORNIER;2023;20234500;Comissão;R$ 3,494,454,34;GO;Atenção Básica à Saúde;Segurança Pública;DF (UF);11/11/2023
FELIPE BORNIER;2023;20234039;Comissão;R$ 4,390,478,77;DF;Infraestrutura Urbana;Segurança Pública;SP (UF);21/10/2023
EDUARDO BARBOSA;2023;20234689;Comissão;R$ 837,784,51;SC;Ensino Fundamental;Assistência Hospitalar e Ambulatorial;BA (UF);04/02/2023
DEPUTADO ALENCAR SANTANA;2023;20239215;Bancada;R$ 4,612,198,17;MG;Vigilância Epidemiológica;Ensino Fundamental;MG (UF);14/06/2023
HERCÍLIO DINIZ;2023;20236864;Bancada;R$ 1,725,564,41;GO;Segurança Pública;Saneamento Básico;RS (UF);02/10/2023
ALENCAR SANTANA;2023;20235561;Individual;R$ 3,463,581,18;SP;Ensino Superior;Vigilância Epidemiológica;BA (UF);16/10/2023
JULIO CESAR RIBEIRO;2023;20238919;Individual;R$ 634,340,39;RS;Ensino Superior;Educação Infantil;PE (UF);04/08/2023
ALENCAR SANTANA;2023;20232540;Bancada;R$ 1,942,745,60;BA;Ensino Fundamental;Segurança Pública;RS (UF);01/12/2023
HERCÍLIO DINIZ;2023;20235768;Comissão;R$ 4,485,855,96;DF;Ensino Superior;Educação Infantil;SP (UF);07/07/2023
GUILHERME MUSSI;2023;20236835;Bancada;R$ 2,371,731,74;RJ;Ensino Médio;Atenção Básica à Saúde;PR (UF);24/02/2023
ALENCAR SANTANA;2023;20239528;Individual;R$ 2,304,214,06;RJ;Ensino Superior;Ensino Médio;GO (UF);21/06/2023
ELICORRÊA;2023;20235397;Bancada;R$ 2,462,141,07;PR;Infraestrutura Urbana;Ensino Médio;BA (UF);15/05/2023
HERCÍLIO DINIZ;2023;20239386;Bancada;R$ 4,495,788,33;GO;Saneamento Básico;Educação Infantil;RS (UF);20/09/2023
ELICORRÊA;2023;20236534;Bancada;R$ 3,421,204,08;BA;Infraestrutura Urbana;Infraestrutura Urbana;MG (UF);19/07/2023
ELICORRÊA FILHO;2023;20238937;Individual;R$ 259,248,56;PE;Saneamento Básico;Segurança Pública;BA (UF);18/04/2023
GUILHERME MUSSI;2023;20233632;Comissão;R$ 2,065,993,19;RS;Assistência Hospitalar e Ambulatorial;Educação Infantil;SC (UF);27/05/2023
DANIEL ALMEIDA;2023;20236064;Comissão;R$ 4,917,888,53;BA;Ensino Médio;Assistência Hospitalar e Ambulatorial;GO (UF);04/11/2023
HERCÍLIO DINIZ FILHO;2023;20238341;Bancada;R$ 1,728,188,41;RS;Ensino Superior;Ensino Fundamental;PE (UF);13/10/2023
BACELAR;2023;20237101;Individual;R$ 3,814,637,42;SC;Educação Infantil;Ensino Médio;RJ (UF);17/02/2023
GUILHERME MUSSI;2023;20234677;Individual;R$ 3,722,646,72;SP;Ensino Superior;Segurança Pública;BA (UF);08/05/2023
HERCÍLIO DINIZ;2023;20234356;Bancada;R$ 3,886,570,30;GO;Educação Infantil;Segurança Pública;RS (UF);19/04/2023
ELICORRÊA;2023;20239731;Individual;R$ 2,203,976,07;RJ;Ensino Fundamental;Ensino Fundamental;PE (UF);23/09/2023
DANIEL ALMEIDA FILHO;2023;20233224;Bancada;R$ 3,257,765,13;SC;Saneamento Básico;Segurança Pública;SC (UF);24/03/2023
HERCÍLIO DINIZ;2023;20235928;Comissão;R$ 3,952,169,21;SP;Ensino Fundamental;Educação Infantil;SC (UF);12/05/2023
FELIPE BORNIER;2023;20237454;Comissão;R$ 4,720,543,07;SC;Atenção Básica à Saúde;Infraestrutura Urbana;GO (UF);07/08/2023
HERCÍLIO DINIZ;2023;20235642;Bancada;R$ 43,285,45;MG;Saneamento Básico;Ensino Fundamental;GO (UF);17/04/2023
DANIEL ALMEIDA;2023;20236963;Comissão;R$ 1,429,232,93;RJ;Vigilância Epidemiológica;Assistência Hospitalar e Ambulatorial;BA (UF);23/07/2023
ALENCAR SANTANA;2023;20237173;Individual;R$ 1,411,001,21;RJ;Saneamento Básico;Ensino Médio;SP (UF);04/06/2023
ELICORRÊA FILHO;2023;20232547;Individual;R$ 999,208,16;DF;Vigilância Epidemiológica;Vigilância Epidemiológica;DF (UF);03/11/2023
ALENCAR SANTANA;2023;20232651;Individual;R$ 4,194,578,29;DF;Assistência Hospitalar e Ambulatorial;Ensino Médio;GO (UF);03/08/2023
ALENCAR SANTANA;2023;20239622;Comissão;R$ 2,095,089,29;PR;Segurança Pública;Saneamento Básico;RJ (UF);25/07/2023
EDUARDO BARBOSA;2023;20232558;Bancada;R$ 2,933,459,40;SC;Ensino Fundamental;Ensino Fundamental;DF (UF);17/08/2023
ALENCAR SANTANA;2023;20236681;Bancada;R$ 4,155,399,78;PE;Educação Infantil;Educação Infantil;SC (UF);18/02/2023
EDUARDO BARBOSA FILHO;2023;20239205;Bancada;R$ 4,761,489,67;DF;Infraestrutura Urbana;Ensino Médio;DF (UF);11/12/2023
DANIEL ALMEIDA;2023;20236712;Bancada;R$ 2,268,612,94;RJ;Saneamento Básico;Infraestrutura Urbana;BA (UF);21/05/2023
DEPUTADO JULIO CESAR RIBEIRO;2023;20236868;Bancada;R$ 1,587,555,16;SP;Ensino Médio;Atenção Básica à Saúde;RJ (UF);25/01/2023
DANIEL ALMEIDA;2023;20235279;Individual;R$ 2,581,835,46;SC;Atenção Básica à Saúde;Ensino Médio;SP (UF);26/01/2023
GUILHERME MUSSI;2023;20236525;Individual;R$ 3,489,425,41;PR;Educação Infantil;Ensino Fundamental;GO (UF);23/12/2023
FELIPE BORNIER;2023;20231533;Comissão;R$ 3,835,472,87;RJ;Educação Infantil;Ensino Médio;RJ (UF);26/12/2023
EDUARDO BARBOSA;2023;20231740;Comissão;R$ 2,683,925,10;PE;Ensino Superior;Ensino Superior;BA (UF);21/12/2023
JULIO CESAR RIBEIRO;2023;20237020;Individual;R$ 1,284,432,62;BA;Saneamento Básico;Infraestrutura Urbana;PE (UF);22/06/2023
FELIPE BORNIER;2023;20237978;Comissão;R$ 2,590,055,93;GO;Educação Infantil;Saneamento Básico;MG (UF);27/12/2023
FELIPE BORNIER FILHO;2023;20237364;Comissão;R$ 721,214,72;RS;Vigilância Epidemiológica;Educação Infantil;PE (UF);27/10/2023
DANIEL ALMEIDA;2023;20233109;Individual;R$ 570,742,53;RS;Saneamento Básico;Ensino Superior;RJ (UF);16/02/2023
EDUARDO BARBOSA;2023;20231918;Individual;R$ 3,455,814,76;PR;Vigilância Epidemiológica;Vigilância Epidemiológica;PE (UF);20/08/2023
CARLOS ZARATTINI;2023;20235443;Bancada;R$ 4,397,847,51;SC;Educação Infantil;Ensino Fundamental;MG (UF);28/03/2023
JULIO CESAR RIBEIRO;2023;20237913;Comissão;R$ 2,896,586,98;SC;Atenção Básica à Saúde;Ensino Médio;SC (UF);10/01/2023
BACELAR;2023;20234465;Bancada;R$ 540,489,44;RJ;Segurança Pública;Educação Infantil;RJ (UF);25/01/2023
DANIEL ALMEIDA;2023;20234734;Individual;R$ 4,821,850,41;PR;Atenção Básica à Saúde;Segurança Pública;DF (UF);16/12/2023
ELICORRÊA;2023;20234402;Bancada;R$ 28,654,58;SP;Assistência Hospitalar e Ambulatorial;Educação Infantil;MG (UF);09/12/2023
DEPUTADO FELIPE BORNIER;2023;20231071;Comissão;R$ 4,488,433,64;PR;Segurança Pública;Ensino Médio;MG (UF);01/09/2023
HERCÍLIO DINIZ;2023;20233150;Bancada;R$ 3,334,612,85;PE;Ensino Fundamental;Infraestrutura Urbana;MG (UF);16/01/2023
JULIO CESAR RIBEIRO FILHO;2023;20233513;Comissão;R$ 1,397,700,51;BA;Ensino Superior;Ensino Superior;RJ (UF);23/12/2023
HERCÍLIO DINIZ;2023;20233281;Bancada;R$ 1,063,324,12;RJ;Educação Infantil;Educação Infantil;GO (UF);01/05/2023
CARLOS ZARATTINI;2023;20232404;Individual;R$ 4,003,101,06;PR;Segurança Pública;Segurança Pública;BA (UF);14/10/2023
CARLOS ZARATTINI;2023;20231193;Individual;R$ 1,301,346,50;GO;Saneamento Básico;Ensino Superior;SP (UF);12/02/2023
CARLOS ZARATTINI;2023;20234092;Comissão;R$ 1,499,087,66;RS;Atenção Básica à Saúde;Infraestrutura Urbana;MG (UF);08/03/2023
EDUARDO BARBOSA;2023;20238696;Bancada;R$ 183,577,59;SC;Vigilância Epidemiológica;Ensino Fundamental;PE (UF);15/10/2023
JULIO CESAR RIBEIRO;2023;20234823;Individual;R$ 461,094,82;RJ;Ensino Superior;Ensino Superior;PR (UF);02/02/2023
BACELAR;2023;20236514;Bancada;R$ 2,491,211,58;PR;Ensino Fundamental;Ensino Médio;GO (UF);21/04/2023
GUILHERME MUSSI;2023;20235643;Comissão;R$ 4,826,652,10;DF;Atenção Básica à Saúde;Atenção Básica à Saúde;SC (UF);14/04/2023
BACELAR;2023;20239395;Bancada;R$ 1,867,478,07;BA;Saneamento Básico;Atenção Básica à Saúde;RS (UF);15/02/2023
HERCÍLIO DINIZ;2023;20232522;Comissão;R$ 4,732,157,14;BA;Ensino Fundamental;Atenção Básica à Saúde;DF (UF);24/01/2023
CARLOS ZARATTINI;2023;20232707;Individual;R$ 2,827,337,71;BA;Infraestrutura Urbana;Ensino Fundamental;DF (UF);14/10/2023
DEPUTADO DANIEL ALMEIDA;2023;20234122;Bancada;R$ 1,226,405,09;DF;Ensino Médio;Vigilância Epidemiológica;GO (UF);01/07/2023
ALENCAR SANTANA;2023;20234026;Comissão;R$ 3,424,719,69;GO;Vigilância Epidemiológica;Assistência Hospitalar e Ambulatorial;GO (UF);10/07/2023
ALENCAR SANTANA;2023;20234372;Individual;R$ 2,467,948,48;RS;Infraestrutura Urbana;Ensino Médio;BA (UF);27/11/2023
DEPUTADO FELIPE BORNIER;2023;20236455;Comissão;R$ 1,817,221,31;PR;Atenção Básica à Saúde;Assistência Hospitalar e Ambulatorial;BA (UF);03/09/2023
CARLOS ZARATTINI;2023;20234663;Bancada;R$ 4,111,234,96;MG;Segurança Pública;Infraestrutura Urbana;SP (UF);07/06/2023
GUILHERME MUSSI;2023;20232481;Bancada;R$ 3,702,466,01;DF;Atenção Básica à Saúde;Segurança Pública;PR (UF);08/06/2023
DANIEL ALMEIDA;2023;20237804;Comissão;R$ 4,148,866,35;GO;Vigilância Epidemiológica;Atenção Básica à Saúde;PR (UF);08/01/2023
HERCÍLIO DINIZ;2023;20237692;Individual;R$ 3,774,255,96;PR;Atenção Básica à Saúde;Assistência Hospitalar e Ambulatorial;MG (UF);10/06/2023
DEPUTADO DANIEL ALMEIDA;2023;20237221;Bancada;R$ 2,972,088,87;MG;Ensino Superior;Educação Infantil;MG (UF);08/11/2023
JULIO CESAR RIBEIRO;2023;20236419;Comissão;R$ 2,638,881,34;SC;Educação Infantil;Atenção Básica à Saúde;SP (UF);10/09/2023
EDUARDO BARBOSA;2023;20233833;Comissão;R$ 2,092,058,44;SC;Saneamento Básico;Segurança Pública;MG (UF);04/02/2023
DEPUTADO CARLOS ZARATTINI;2023;20233142;Individual;R$ 3,719,848,12;RJ;Ensino Fundamental;Ensino Médio;MG (UF);09/08/2023
DEPUTADO ALENCAR SANTANA;2023;20239702;Comissão;R$ 448,952,36;GO;Assistência Hospitalar e Ambulatorial;Saneamento Básico;PR (UF);28/03/2023
HERCÍLIO DINIZ;2023;20236794;Comissão;R$ 157,628,29;GO;Vigilância Epidemiológica;Atenção Básica à Saúde;DF (UF);08/02/2023
JULIO CESAR RIBEIRO;2023;20239025;Comissão;R$ 677,394,47;RS;Atenção Básica à Saúde;Assistência Hospitalar e Ambulatorial;PE (UF);27/12/2023
BACELAR;2023;20236839;Bancada;R$ 3,757,547,98;RJ;Infraestrutura Urbana;Educação Infantil;PR (UF);07/03/2023
ELICORRÊA;2023;20239709;Individual;R$ 1,155,060,72;SP;Segurança Pública;Vigilância Epidemiológica;DF (UF);12/04/2023
JULIO CESAR RIBEIRO;2023;20231338;Comissão;R$ 4,477,019,64;SC;Infraestrutura Urbana;Segurança Pública;DF (UF);03/02/2023
HERCÍLIO DINIZ;2023;20231647;Comissão;R$ 1,251,378,39;PR;Vigilância Epidemiológica;Ensino Fundamental;RS (UF);16/02/2023
DEPUTADO ALENCAR SANTANA;2023;20232803;Individual;R$ 1,588,812,80;DF;Ensino Superior;Infraestrutura Urbana;PE (UF);20/09/2023
DANIEL ALMEIDA;2023;20238893;Bancada;R$ 1,793,316,95;SC;Educação Infantil;Atenção Básica à Saúde;PR (UF);13/02/2023
ELICORRÊA;2023;20233484;Bancada;R$ 3,244,656,23;RJ;Ensino Superior;Saneamento Básico;PE (UF);05/03/2023
BACELAR;2023;20239454;Individual;R$ 4,149,363,33;MG;Educação Infantil;Ensino Fundamental;MG (UF);20/09/2023
JULIO CESAR RIBEIRO;2023;20231067;Individual;R$ 1,550,294,41;RJ;Atenção Básica à Saúde;Vigilância Epidemiológica;GO (UF);19/08/2023
FELIPE BORNIER;2023;20235348;Comissão;R$ 1,668,116,67;GO;Atenção Básica à Saúde;Atenção Básica à Saúde;SC (UF);25/04/2023
ELICORRÊA FILHO;2023;20238478;Comissão;R$ 1,907,332,48;DF;Assistência Hospitalar e Ambulatorial;Infraestrutura Urbana;PR (UF);27/02/2023
EDUARDO BARBOSA;2023;20238737;Individual;R$ 1,436,313,59;BA;Vigilância Epidemiológica;Atenção Básica à Saúde;RS (UF);03/07/2023
FELIPE BORNIER;2023;20231711;Bancada;R$ 517,512,63;GO;Atenção Básica à Saúde;Ensino Médio;GO (UF);20/12/2023
DEPUTADO ELICORRÊA;2023;20239293;Comissão;R$ 1,607,876,31;BA;Atenção Básica à Saúde;Assistência Hospitalar e Ambulatorial;GO (UF);01/04/2023
BACELAR FILHO;2023;20232540;Individual;R$ 3,489,771,96;RS;Atenção Básica à Saúde;Assistência Hospitalar e Ambulatorial;DF (UF);25/09/2023
JULIO CESAR RIBEIRO;2023;20234543;Individual;R$ 1,788,276,34;GO;Ensino Fundamental;Segurança Pública;RS (UF);10/02/2023
DANIEL ALMEIDA;2023;20238673;Comissão;R$ 2,410,921,22;PR;Assistência Hospitalar e Ambulatorial;Vigilância Epidemiológica;RS (UF);10/09/2023
HERCÍLIO DINIZ;2023;20233376;Comissão;R$ 31,885,74;RS;Ensino Superior;Vigilância Epidemiológica;SP (UF);09/06/2023
GUILHERME MUSSI;2023;20235598;Comissão;R$ 2,218,410,36;RS;Ensino Médio;Ensino Fundamental;PE (UF);18/12/2023
GUILHERME MUSSI;2023;20232714;Comissão;R$ 1,055,157,03;DF;Ensino Fundamental;Ensino Fundamental;DF (UF);07/02/2023
HERCÍLIO DINIZ;2023;20233384;Comissão;R$ 1,198,357,94;PE;Infraestrutura Urbana;Ensino Fundamental;PR (UF);03/05/2023
DANIEL ALMEIDA FILHO;2023;20233280;Bancada;R$ 2,083,130,61;DF;Atenção Básica à Saúde;Ensino Fundamental;PE (UF);28/11/2023
ELICORRÊA;2023;20231961;Bancada;R$ 1,356,449,06;GO;Assistência Hospitalar e Ambulatorial;Atenção Básica à Saúde;SP (UF);20/05/2023
CARLOS ZARATTINI;2023;20237481;Individual;R$ 2,568,595,58;RJ;Segurança Pública;Ensino Médio;RJ (UF);02/11/2023
JULIO CESAR RIBEIRO;2023;20232226;Bancada;R$ 3,873,721,12;MG;Educação Infantil;Atenção Básica à Saúde;DF (UF);17/09/2023
ELICORRÊA FILHO;2023;20238625;Individual;R$ 4,788,678,16;RS;Ensino Fundamental;Assistência Hospitalar e Ambulatorial;RJ (UF);28/11/2023
JULIO CESAR RIBEIRO;2023;20236105;Individual;R$ 2,893,240,36;PR;Ensino Superior;Ensino Fundamental;MG (UF);20/05/2023
GUILHERME MUSSI;2023;20239950;Comissão;R$ 777,830,22;PR;Educação Infantil;Segurança Pública;RS (UF);20/06/2023
CARLOS ZARATTINI;2023;20234827;Comissão;R$ 4,492,814,44;RJ;Ensino Superior;Ensino Fundamental;PR (UF);22/03/2023
ALENCAR SANTANA;2023;20231829;Comissão;R$ 1,368,308,09;SC;Educação Infantil;Ensino Fundamental;DF (UF);05/11/2023
EDUARDO BARBOSA;2023;20234501;Individual;R$ 535,695,45;PR;Infraestrutura Urbana;Ensino Fundamental;SC (UF);12/09/2023
JULIO CESAR RIBEIRO;2023;20231597;Comissão;R$ 301,291,09;PR;Infraestrutura Urbana;Segurança Pública;RJ (UF);10/06/2023
FELIPE BORNIER FILHO;2023;20232033;Individual;R$ 4,223,011,63;SP;Segurança Pública;Saneamento Básico;GO (UF);04/05/2023
CARLOS ZARATTINI FILHO;2023;20232850;Comissão;R$ 3,902,781,95;RS;Ensino Superior;Ensino Superior;SC (UF);03/05/2023
FELIPE BORNIER;2023;20236088;Comissão;R$ 4,014,238,91;PE;Ensino Médio;Ensino Médio;PR (UF);18/05/2023
ELICORRÊA;2023;20234859;Individual;R$ 97,555,52;RJ;Educação Infantil;Ensino Fundamental;RS (UF);11/04/2023
BACELAR;2023;20239549;Bancada;R$ 2,609,604,68;GO;Ensino Médio;Vigilância Epidemiológica;PR (UF);19/04/2023
JULIO CESAR RIBEIRO;2023;20236841;Bancada;R$ 457,718,32;PE;Ensino Médio;Atenção Básica à Saúde;SP (UF);01/06/2023
JULIO CESAR RIBEIRO;2023;20238742;Bancada;R$ 4,819,401,20;PR;Assistência Hospitalar e Ambulatorial;Infraestrutura Urbana;MG (UF);21/10/2023
HERCÍLIO DINIZ;2023;20233771;Comissão;R$ 1,942,258,09;GO;Atenção Básica à Saúde;Segurança Pública;SP (UF);09/07/2023
BACELAR;2023;20232414;Individual;R$ 1,702,500,57;MG;Infraestrutura Urbana;Vigilância Epidemiológica;PR (UF);15/07/2023
EDUARDO BARBOSA;2023;20233068;Individual;R$ 2,578,500,83;DF;Ensino Médio;Ensino Superior;RS (UF);04/03/2023
FELIPE BORNIER;2023;20233706;Bancada;R$ 4,346,105,53;SP;Saneamento Básico;Vigilância Epidemiológica;PR (UF);04/04/2023
EDUARDO BARBOSA;2023;20235645;Comissão;R$ 4,329,181,37;MG;Atenção Básica à Saúde;Ensino Fundamental;PE (UF);22/12/2023
EDUARDO BARBOSA FILHO;2023;20236282;Bancada;R$ 2,427,105,11;PE;Saneamento Básico;Ensino Médio;SC (UF);12/06/2023
FELIPE BORNIER;2023;20235929;Bancada;R$ 4,964,582,62;SP;Segurança Pública;Ensino Médio;RS (UF);07/08/2023
BACELAR;2023;20231328;Individual;R$ 606,827,09;PE;Ensino Superior;Atenção Básica à Saúde;PE (UF);24/06/2023
FELIPE BORNIER;2023;20237751;Comissão;R$ 749,784,68;GO;Ensino Médio;Vigilância Epidemiológica;PR (UF);27/09/2023
BACELAR;2023;20239525;Comissão;R$ 4,048,450,46;DF;Ensino Fundamental;Infraestrutura Urbana;MG (UF);28/05/2023
ELICORRÊA;2023;20239762;Individual;R$ 1,768,218,42;PR;Ensino Médio;Ensino Médio;PR (UF);08/02/2023
EDUARDO BARBOSA;2023;20234890;Comissão;R$ 4,182,511,83;SP;Segurança Pública;Ensino Fundamental;SC (UF);22/02/2023
JULIO CESAR RIBEIRO;2023;20236960;Individual;R$ 3,845,466,36;GO;Ensino Fundamental;Infraestrutura Urbana;GO (UF);17/03/2023
FELIPE BORNIER FILHO;2023;20237469;Individual;R$ 4,413,832,97;RS;Ensino Fundamental;Atenção Básica à Saúde;GO (UF);01/11/2023
CARLOS ZARATTINI;2023;20235035;Individual;R$ 4,834,539,99;PR;Assistência Hospitalar e Ambulatorial;Atenção Básica à Saúde;GO (UF);21/02/2023
DEPUTADO EDUARDO BARBOSA;2023;20239489;Comissão;R$ 1,990,884,44;MG;Assistência Hospitalar e Ambulatorial;Ensino Superior;SP (UF);10/11/2023
EDUARDO BARBOSA FILHO;2023;20237886;Individual;R$ 3,326,595,94;MG;Ensino Superior;Assistência Hospitalar e Ambulatorial;MG (UF);18/09/2023
FELIPE BORNIER FILHO;2023;20231482;Comissão;R$ 603,113,66;BA;Ensino Médio;Vigilância Epidemiológica;BA (UF);25/02/2023
GUILHERME MUSSI;2023;20235337;Bancada;R$ 1,192,426,36;SC;Segurança Pública;Ensino Superior;DF (UF);12/12/2023
DEPUTADO JULIO CESAR RIBEIRO;2023;20236823;Bancada;R$ 1,485,351,56;BA;Vigilância Epidemiológica;Educação Infantil;MG (UF);12/08/2023
FELIPE BORNIER;2023;20235463;Individual;R$ 654,652,97;GO;Educação Infantil;Assistência Hospitalar e Ambulatorial;PE (UF);10/10/2023
GUILHERME MUSSI;2023;20235205;Comissão;R$ 2,157,147,15;GO;Educação Infantil;Vigilância Epidemiológica;RJ (UF);22/10/2023
FELIPE BORNIER;2023;20237646;Bancada;R$ 2,852,610,00;GO;Vigilância Epidemiológica;Atenção Básica à Saúde;DF (UF);02/06/2023
EDUARDO BARBOSA;2023;20235771;Comissão;R$ 1,226,861,12;DF;Atenção Básica à Saúde;Saneamento Básico;SP (UF);28/06/2023
GUILHERME MUSSI;2023;20235380;Comissão;R$ 56,587,66;RS;Atenção Básica à Saúde;Ensino Médio;PR (UF);03/02/2023
DEPUTADO JULIO CESAR RIBEIRO;2023;20234939;Bancada;R$ 843,959,34;MG;Vigilância Epidemiológica;Segurança Pública;DF (UF);04/03/2023
DEPUTADO HERCÍLIO DINIZ;2023;20239252;Comissão;R$ 2,354,801,61;RS;Vigilância Epidemiológica;Assistência Hospitalar e Ambulatorial;DF (UF);19/03/2023
HERCÍLIO DINIZ;2023;20233602;Individual;R$ 743,087,88;RJ;Infraestrutura Urbana;Assistência Hospitalar e Ambulatorial;SP (UF);26/11/2023
ELICORRÊA;2023;20234076;Bancada;R$ 4,475,978,17;SC;Vigilância Epidemiológica;Ensino Médio;SP (UF);27/02/2023
ALENCAR SANTANA;2023;20233820;Comissão;R$ 2,973,434,22;PR;Segurança Pública;Saneamento Básico;BA (UF);14/01/2023
FELIPE BORNIER;2023;20235204;Comissão;R$ 506,369,86;RS;Educação Infantil;Ensino Superior;MG (UF);09/09/2023
DANIEL ALMEIDA;2023;20237704;Comissão;R$ 4,251,051,86;RS;Ensino Médio;Saneamento Básico;GO (UF);07/06/2023
ELICORRÊA;2023;20235691;Bancada;R$ 4,174,299,07;MG;Ensino Fundamental;Ensino Superior;RJ (UF);24/06/2023
DANIEL ALMEIDA;2023;20235225;Bancada;R$ 2,455,661,60;RJ;Educação Infantil;Saneamento Básico;PE (UF);21/02/2023
ALENCAR SANTANA;2023;20235244;Comissão;R$ 2,772,014,30;PR;Infraestrutura Urbana;Educação Infantil;SC (UF);13/06/2023
GUILHERME MUSSI;2023;20232135;Individual;R$ 4,560,744,33;SP;Segurança Pública;Ensino Superior;GO (UF);08/12/2023
FELIPE BORNIER;2023;20231157;Comissão;R$ 4,484,681,63;DF;Vigilância Epidemiológica;Educação Infantil;MG (UF);15/06/2023
GUILHERME MUSSI FILHO;2023;20238545;Individual;R$ 2,982,102,55;MG;Ensino Fundamental;Saneamento Básico;GO (UF);06/12/2023
FELIPE BORNIER FILHO;2023;20239334;Bancada;R$ 224,369,06;MG;Ensino Superior;Ensino Médio;RJ (UF);24/10/2023
DEPUTADO ALENCAR SANTANA;2023;20231688;Individual;R$ 2,938,155,17;GO;Atenção Básica à Saúde;Atenção Básica à Saúde;SP (UF);03/02/2023
FELIPE BORNIER;2023;20237804;Comissão;R$ 3,262,053,39;RS;Atenção Básica à Saúde;Educação Infantil;RS (UF);24/06/2023
DANIEL ALMEIDA FILHO;2023;20232529;Bancada;R$ 3,458,143,23;DF;Educação Infantil;Ensino Superior;PE (UF);01/05/2023
CARLOS ZARATTINI;2023;20232574;Individual;R$ 3,758,274,63;SC;Ensino Médio;Saneamento Básico;SC (UF);10/07/2023
GUILHERME MUSSI;2023;20234227;Bancada;R$ 3,471,591,85;SP;Vigilância Epidemiológica;Assistência Hospitalar e Ambulatorial;PE (UF);01/01/2023
FELIPE BORNIER;2023;20232676;Individual;R$ 2,731,696,47;RJ;Assistência Hospitalar e Ambulatorial;Ensino Superior;PR (UF);10/02/2023
EDUARDO BARBOSA FILHO;2023;20233593;Comissão;R$ 4,499,606,58;DF;Saneamento Básico;Segurança Pública;SC (UF);22/03/2023
DEPUTADO ALENCAR SANTANA;2023;20233835;Bancada;R$ 3,019,560,54;SC;Ensino Médio;Vigilância Epidemiológica;SC (UF);21/06/2023
JULIO CESAR RIBEIRO;2023;20237607;Comissão;R$ 910,967,55;PE;Educação Infantil;Saneamento Básico;BA (UF);21/06/2023
DANIEL ALMEIDA FILHO;2023;20232564;Bancada;R$ 3,189,208,39;DF;Saneamento Básico;Ensino Superior;SC (UF);20/05/2023
ELICORRÊA;2023;20234782;Individual;R$ 1,749,405,95;BA;Segurança Pública;Educação Infantil;DF (UF);06/04/2023
EDUARDO BARBOSA FILHO;2023;20236697;Individual;R$ 3,702,535,20;MG;Ensino Superior;Educação Infantil;BA (UF);21/06/2023
JULIO CESAR RIBEIRO;2023;20231784;Comissão;R$ 4,370,110,85;GO;Segurança Pública;Saneamento Básico;RS (UF);25/07/2023
DANIEL ALMEIDA;2023;20236879;Individual;R$ 3,180,461,59;BA;Educação Infantil;Infraestrutura Urbana;RS (UF);19/06/2023
CARLOS ZARATTINI FILHO;2023;20239588;Individual;R$ 4,339,144,23;RJ;Atenção Básica à Saúde;Atenção Básica à Saúde;PR (UF);10/08/2023
DEPUTADO ALENCAR SANTANA;2023;20238882;Bancada;R$ 3,210,341,27;BA;Ensino Médio;Ensino Médio;MG (UF);24/12/2023
JULIO CESAR RIBEIRO;2023;20234724;Comissão;R$ 68,828,70;GO;Atenção Básica à Saúde;Segurança Pública;PE (UF);11/08/2023
DEPUTADO BACELAR;2023;20239894;Comissão;R$ 3,520,302,47;RS;Educação Infantil;Segurança Pública;GO (UF);08/05/2023
EDUARDO BARBOSA;2023;20236932;Individual;R$ 602,395,13;BA;Assistência Hospitalar e Ambulatorial;Atenção Básica à Saúde;DF (UF);12/11/2023
HERCÍLIO DINIZ FILHO;2023;20238766;Comissão;R$ 3,798,385,39;RS;Assistência Hospitalar e Ambulatorial;Vigilância Epidemiológica;BA (UF);26/02/2023
EDUARDO BARBOSA;2023;20234944;Individual;R$ 4,245,383,89;RJ;Assistência Hospitalar e Ambulatorial;Educação Infantil;DF (UF);12/12/2023
DEPUTADO HERCÍLIO DINIZ;2023;20239225;Comissão;R$ 1,466,899,50;SP;Ensino Médio;Ensino Fundamental;DF (UF);02/04/2023
HERCÍLIO DINIZ;2023;20232447;Bancada;R$ 1,651,479,13;BA;Vigilância Epidemiológica;Infraestrutura Urbana;SC (UF);01/09/2023
